rfam_acc,description,rna_type,number_seqs,number_of_columns,number_residues,average_length,percent_identity,source
RF00274,Small nucleolar RNA SNORD57,Gene; snRNA; snoRNA; CD-box;,23,94,1634,71.0,78,Rfam seed
RF00275,Small nucleolar RNA SNORD56,Gene; snRNA; snoRNA; CD-box;,7,72,494,70.6,80,Rfam seed
RF00276,Small nucleolar RNA SNORD52,Gene; snRNA; snoRNA; CD-box;,20,72,1339,67.0,81,Rfam seed
RF00277,Small nucleolar RNA SNORD49,Gene; snRNA; snoRNA; CD-box;,28,80,2010,71.8,76,Rfam seed
RF00278,Small nucleolar RNA SNORD50,Gene; snRNA; snoRNA; CD-box;,26,78,1858,71.5,81,Rfam seed
RF00279,Small nucleolar RNA SNORD45,Gene; snRNA; snoRNA; CD-box;,11,84,815,74.1,79,Rfam seed
RF00280,Small nucleolar RNA SNORD51,Gene; snRNA; snoRNA; CD-box;,14,80,1070,76.4,86,Rfam seed
RF00281,Small nucleolar RNA SNORD47,Gene; snRNA; snoRNA; CD-box;,20,83,1518,75.9,82,Rfam seed
RF00282,Small nucleolar RNA SNORD48,Gene; snRNA; snoRNA; CD-box;,8,64,502,62.8,90,Rfam seed
RF00283,small Cajal body-specific RNA 18,Gene; snRNA; snoRNA; scaRNA;,20,85,1626,81.3,86,Rfam seed
RF00284,Small nucleolar RNA SNORD74,Gene; snRNA; snoRNA; CD-box;,22,84,1744,79.3,78,Rfam seed
RF00285,Z6 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;,7,91,637,91.0,91,Rfam seed
RF00286,Small Cajal body specific RNA 8,Gene; snRNA; snoRNA; scaRNA;,22,138,2870,130.5,79,Rfam seed
RF00287,Small nucleolar RNA SNORD44,Gene; snRNA; snoRNA; CD-box;,12,65,732,61.0,84,Rfam seed
RF00288,Z30 small nucleolar RNA,Gene; snRNA; snoRNA; CD-box;,20,116,1951,97.5,82,Rfam seed
RF00289,Small nucleolar RNA SNORD104,Gene; snRNA; snoRNA; CD-box;,18,72,1254,69.7,86,Rfam seed
RF00290,Bamboo mosaic potexvirus (BaMV) cis-regulatory element,Cis-reg;,5,140,700,140.0,99,Rfam seed
RF00291,Small nucleolar RNA snoR639/H1,Gene; snRNA; snoRNA; HACA-box;,9,151,1253,139.2,80,Rfam seed
RF00292,Small nucleolar RNA TBR5,Gene; snRNA; snoRNA; CD-box;,6,96,539,89.8,81,Rfam seed
RF00293,Small nucleolar RNA snoM1,Gene; snRNA; snoRNA; HACA-box;,7,104,697,99.6,89,Rfam seed
RF00294,Small nucleolar RNA TBR17,Gene; snRNA; snoRNA; CD-box;,6,134,728,121.3,76,Rfam seed
RF00295,Small nucleolar RNA TBR7,Gene; snRNA; snoRNA; CD-box;,10,80,744,74.4,78,Rfam seed
RF00296,Small nucleolar RNA R16,Gene; snRNA; snoRNA; CD-box;,18,98,1536,85.3,74,Rfam seed
RF00300,Small nucleolar RNA Z221/R21b,Gene; snRNA; snoRNA; CD-box;,12,135,1193,99.4,73,Rfam seed
RF00301,Small nucleolar RNA Z256,Gene; snRNA; snoRNA; CD-box;,5,94,466,93.2,83,Rfam seed
RF00302,Small nucleolar RNA SNORA65,Gene; snRNA; snoRNA; HACA-box;,14,137,1766,126.1,72,Rfam seed
RF00303,Small nucleolar RNA snoR86,Gene; snRNA; snoRNA; HACA-box;,11,144,1370,124.5,75,Rfam seed
RF00304,Small nucleolar RNA Z279/snoR105/snoR108,Gene; snRNA; snoRNA; CD-box;,20,126,2128,106.4,72,Rfam seed
RF00305,Small nucleolar RNA Z248,Gene; snRNA; snoRNA; CD-box;,5,137,685,137.0,98,Rfam seed
RF00306,Small nucleolar RNA Z178,Gene; snRNA; snoRNA; CD-box;,5,152,760,152.0,100,Rfam seed
RF00307,Small nucleolar RNA snoR98,Gene; snRNA; snoRNA; HACA-box;,4,119,435,108.8,86,Rfam seed
RF00309,Small nucleolar RNA snR60/Z15/Z230/Z193/J17,Gene; snRNA; snoRNA; CD-box;,23,124,2155,93.7,63,Rfam seed
RF00310,Small nucleolar RNA Z165,Gene; snRNA; snoRNA; CD-box;,5,92,451,90.2,95,Rfam seed
RF00311,Small nucleolar RNA Z188,Gene; snRNA; snoRNA; CD-box;,21,128,2495,118.8,79,Rfam seed
RF00312,Small nucleolar RNA Z206,Gene; snRNA; snoRNA; CD-box;,6,135,782,130.3,90,Rfam seed
RF00313,Small nucleolar RNA Z173,Gene; snRNA; snoRNA; CD-box;,4,107,426,106.5,99,Rfam seed
RF00314,Small nucleolar RNA Z182,Gene; snRNA; snoRNA; CD-box;,6,92,534,89.0,96,Rfam seed
RF00315,Small nucleolar RNA J33,Gene; snRNA; snoRNA; CD-box;,5,81,399,79.8,79,Rfam seed
RF00316,Small nucleolar RNA R43,Gene; snRNA; snoRNA; CD-box;,16,74,1152,72.0,87,Rfam seed
RF00317,Small nucleolar RNA Z163/Z177 family,Gene; snRNA; snoRNA; CD-box;,7,96,625,89.3,82,Rfam seed
RF00318,Small nucleolar RNA Z175,Gene; snRNA; snoRNA; CD-box;,6,81,451,75.2,99,Rfam seed
RF00319,Small nucleolar RNA SNORA23,Gene; snRNA; snoRNA; HACA-box;,9,188,1635,181.7,83,Rfam seed
RF00320,Small nucleolar RNA Z185,Gene; snRNA; snoRNA; CD-box;,5,86,424,84.8,94,Rfam seed
RF00321,Small nucleolar RNA Z247,Gene; snRNA; snoRNA; CD-box;,8,143,1088,136.0,82,Rfam seed
RF00322,Small nucleolar RNA SNORA31,Gene; snRNA; snoRNA; HACA-box;,5,130,627,125.4,85,Rfam seed
RF00323,Small nucleolar RNA R79,Gene; snRNA; snoRNA; CD-box;,5,65,323,64.6,99,Rfam seed
RF00324,Small nucleolar RNA MBII-202,Gene; snRNA; snoRNA; CD-box;,30,108,2432,81.1,72,Rfam seed
RF00325,Small nucleolar RNA SNORD53/SNORD92,Gene; snRNA; snoRNA; CD-box;,37,106,2953,79.8,74,Rfam seed
RF00326,Small nucleolar RNA Z155,Gene; snRNA; snoRNA; CD-box;,8,83,620,77.5,79,Rfam seed
RF00327,Small nucleolar RNA Z194,Gene; snRNA; snoRNA; CD-box;,5,108,532,106.4,99,Rfam seed
RF00328,Small nucleolar RNA Z161/Z228,Gene; snRNA; snoRNA; CD-box;,11,102,990,90.0,67,Rfam seed
RF00329,Small nucleolar RNA Z162,Gene; snRNA; snoRNA; CD-box;,9,93,797,88.6,83,Rfam seed
RF00330,Small nucleolar RNA Z43,Gene; snRNA; snoRNA; CD-box;,7,106,694,99.1,83,Rfam seed
RF00331,Small nucleolar RNA Z169,Gene; snRNA; snoRNA; CD-box;,3,71,209,69.7,87,Rfam seed
RF00332,Small nucleolar RNA Z266,Gene; snRNA; snoRNA; CD-box;,11,110,1002,91.1,74,Rfam seed
RF00333,Small nucleolar RNA Z157/R69/R10,Gene; snRNA; snoRNA; CD-box;,10,106,973,97.3,75,Rfam seed
RF00334,Small nucleolar RNA SNORA3/SNORA45 family,Gene; snRNA; snoRNA; HACA-box;,6,133,772,128.7,74,Rfam seed
RF00335,Small nucleolar RNA Z13/snr52,Gene; snRNA; snoRNA; CD-box;,42,148,4165,99.2,72,Rfam seed
RF00336,Small nucleolar RNA J26,Gene; snRNA; snoRNA; CD-box;,5,153,746,149.2,95,Rfam seed
RF00337,Small nucleolar RNA Z112,Gene; snRNA; snoRNA; CD-box;,6,192,1101,183.5,92,Rfam seed
RF00338,Small nucleolar RNA snR53,Gene; snRNA; snoRNA; CD-box;,5,96,455,91.0,94,Rfam seed
RF00339,Small nucleolar RNA snoR60,Gene; snRNA; snoRNA; CD-box;,10,77,732,73.2,84,Rfam seed
RF00340,Small nucleolar RNA SNORA36 family,Gene; snRNA; snoRNA; HACA-box;,6,132,768,128.0,85,Rfam seed
RF00341,Small nucleolar RNA Z39,Gene; snRNA; snoRNA; CD-box;,5,64,307,61.4,88,Rfam seed
RF00342,Small nucleolar RNA Z40,Gene; snRNA; snoRNA; CD-box;,5,73,362,72.4,94,Rfam seed
RF00343,Small nucleolar RNA Z122,Gene; snRNA; snoRNA; CD-box;,23,112,2050,89.1,64,Rfam seed
RF00344,Small nucleolar RNA Z267,Gene; snRNA; snoRNA; CD-box;,5,76,363,72.6,81,Rfam seed
RF00345,Small nucleolar RNA snoR1,Gene; snRNA; snoRNA; CD-box;,13,109,1216,93.5,73,Rfam seed
RF00348,Small nucleolar RNA snoR9,Gene; snRNA; snoRNA; CD-box;,7,129,903,129.0,82,Rfam seed
RF00349,Small nucleolar RNA R11/Z151,Gene; snRNA; snoRNA; CD-box;,5,99,455,91.0,86,Rfam seed
RF00350,Small nucleolar RNA Z152/R70/R12/,Gene; snRNA; snoRNA; CD-box;,9,133,959,106.6,71,Rfam seed
RF00351,Small nucleolar RNA R20,Gene; snRNA; snoRNA; CD-box;,4,102,372,93.0,83,Rfam seed
RF00352,Small nucleolar RNA R21,Gene; snRNA; snoRNA; CD-box;,6,88,496,82.7,77,Rfam seed
RF00353,Small nucleolar RNA snoR31/Z110/Z27,Gene; snRNA; snoRNA; CD-box;,8,105,752,94.0,67,Rfam seed
RF00355,Small nucleolar RNA snoR28,Gene; snRNA; snoRNA; CD-box;,9,78,686,76.2,82,Rfam seed
RF00356,Small nucleolar RNA R32/R81/Z41,Gene; snRNA; snoRNA; CD-box;,6,110,573,95.5,83,Rfam seed
RF00357,Small nucleolar RNA R44/J54/Z268 family,Gene; snRNA; snoRNA; CD-box;,29,112,2728,94.1,71,Rfam seed
RF00358,Small nucleolar RNA Z101,Gene; snRNA; snoRNA; CD-box;,13,105,1229,94.5,76,Rfam seed
RF00359,Small nucleolar RNA Z102/R77,Gene; snRNA; snoRNA; CD-box;,9,92,776,86.2,87,Rfam seed
RF00360,Small nucleolar RNA Z107/R87,Gene; snRNA; snoRNA; CD-box;,9,132,1028,114.2,73,Rfam seed
RF00361,Small nucleolar RNA Z119,Gene; snRNA; snoRNA; CD-box;,6,98,581,96.8,94,Rfam seed
RF00362,Pospiviroid RY motif stem loop,Cis-reg;,16,81,1264,79.0,92,Rfam seed
RF00363,mir-BART1 microRNA precursor family,Gene; miRNA;,2,70,140,70.0,86,Rfam seed
RF00364,mir-BART2 microRNA precursor family,Gene; miRNA;,8,62,489,61.1,93,Rfam seed
RF00365,mir-BHRF1-1 microRNA precursor family,Gene; miRNA;,2,66,132,66.0,92,Rfam seed
RF00366,mir-BHRF1-2 microRNA precursor family,Gene; miRNA;,2,65,130,65.0,83,Rfam seed
RF00367,mir-BHRF1-3 microRNA precursor family,Gene; miRNA;,4,65,260,65.0,100,Rfam seed
RF00368,sroB RNA,Gene; sRNA;,16,90,1299,81.2,68,Rfam seed
RF00369,sroC RNA,Gene; sRNA;,6,164,960,160.0,75,Rfam seed
RF00370,sroD RNA,Gene; sRNA;,5,92,434,86.8,85,Rfam seed
RF00371,sroE RNA,Gene; sRNA;,4,92,352,88.0,84,Rfam seed
RF00372,sroH RNA,Gene; sRNA;,2,161,314,157.0,76,Rfam seed
RF00373,Archaeal RNase P,Gene; ribozyme;,70,721,21839,312.0,52,Rfam seed
RF00374,Gammaretrovirus core encapsidation signal,Cis-reg;,22,103,2216,100.7,89,Rfam seed
RF00375,HIV primer binding site (PBS),Cis-reg;,130,101,12870,99.0,91,Rfam seed
RF00376,HIV gag stem loop 3 (GSL3),Cis-reg;,72,85,6042,83.9,81,Rfam seed
RF00377,Small nucleolar RNA U6-53/MBII-28,Gene; snRNA; snoRNA; CD-box;,25,119,2686,107.4,75,Rfam seed
RF00378,Qrr RNA,Gene; sRNA;,30,134,3204,106.8,79,Rfam seed
RF00379,ydaO/yuaA leader,Cis-reg; riboswitch;,106,335,15231,143.7,56,Rfam seed
RF00380,M-box riboswitch (ykoK leader),Cis-reg; riboswitch;,159,278,26803,168.6,58,Rfam seed
RF00381,Antizyme RNA frameshifting stimulation element,Cis-reg; frameshift_element;,13,59,751,57.8,84,Rfam seed
RF00382,DnaX ribosomal frameshifting element,Cis-reg; frameshift_element;,5,65,325,65.0,86,Rfam seed
RF00383,Insertion sequence IS1222 ribosomal frameshifting element,Cis-reg; frameshift_element;,5,118,590,118.0,93,Rfam seed
RF00384,Poxvirus AX element late mRNA cis-regulatory element,Cis-reg;,10,62,620,62.0,93,Rfam seed
RF00385,Infectious bronchitis virus D-RNA,Cis-reg;,10,42,417,41.7,94,Rfam seed
RF00386,Enterovirus 5' cloverleaf cis-acting replication element,Cis-reg;,160,125,14270,89.2,84,Rfam seed
RF00387,FGF-1 internal ribosome entry site (IRES),Cis-reg; IRES;,6,173,990,165.0,87,Rfam seed
RF00388,Anti-Q RNA,Gene; antisense;,6,113,621,103.5,72,Rfam seed
RF00389,Bamboo mosaic virus satellite RNA cis-regulatory element,Cis-reg;,42,159,6635,158.0,93,Rfam seed
RF00390,UPSK RNA,Cis-reg;,6,23,138,23.0,94,Rfam seed
RF00391,RtT RNA,Cis-reg;,57,171,7366,129.2,68,Rfam seed
RF00392,Small nucleolar RNA SNORA5,Gene; snRNA; snoRNA; HACA-box;,6,142,804,134.0,75,Rfam seed
RF00393,Small nucleolar RNA SNORA8,Gene; snRNA; snoRNA; HACA-box;,5,141,696,139.2,90,Rfam seed
RF00394,Small nucleolar RNA SNORA4,Gene; snRNA; snoRNA; HACA-box;,7,151,983,140.4,76,Rfam seed
RF00396,Small nucleolar RNA SNORA13,Gene; snRNA; snoRNA; HACA-box;,50,166,6648,133.0,67,Rfam seed
RF00397,Small nucleolar RNA SNORA14,Gene; snRNA; snoRNA; HACA-box;,18,149,2416,134.2,77,Rfam seed
RF00398,Small nucleolar RNA SNORA15,Gene; snRNA; snoRNA; HACA-box;,22,150,2968,134.9,81,Rfam seed
RF00399,Small nucleolar RNA SNORA24,Gene; snRNA; snoRNA; HACA-box;,5,135,649,129.8,89,Rfam seed
RF00400,Small nucleolar RNA SNORA28,Gene; snRNA; snoRNA; HACA-box;,26,146,3264,125.5,79,Rfam seed
RF00401,Small nucleolar RNA SNORA20,Gene; snRNA; snoRNA; HACA-box;,17,133,2195,129.1,87,Rfam seed
RF00402,Small nucleolar RNA SNORA25,Gene; snRNA; snoRNA; HACA-box;,30,147,3841,128.0,77,Rfam seed
RF00403,Small nucleolar RNA SNORA41,Gene; snRNA; snoRNA; HACA-box;,31,144,4102,132.3,77,Rfam seed
RF00404,Small nucleolar RNA SNORA46,Gene; snRNA; snoRNA; HACA-box;,22,158,2994,136.1,82,Rfam seed
RF00405,Small nucleolar RNA SNORA44,Gene; snRNA; snoRNA; HACA-box;,27,143,3498,129.6,81,Rfam seed
RF00406,Small nucleolar RNA SNORA42/SNORA80 family,Gene; snRNA; snoRNA; HACA-box;,21,139,2824,134.5,79,Rfam seed
RF00407,Small nucleolar RNA SNORA50,Gene; snRNA; snoRNA; HACA-box;,14,145,1899,135.6,72,Rfam seed
RF00408,Small nucleolar RNA SNORA1,Gene; snRNA; snoRNA; HACA-box;,29,152,3862,133.2,76,Rfam seed
RF00409,Small nucleolar RNA SNORA7,Gene; snRNA; snoRNA; HACA-box;,31,156,4325,139.5,78,Rfam seed
RF00410,Small nucleolar RNA SNORA2/SNORA34 family,Gene; snRNA; snoRNA; HACA-box;,18,145,2447,135.9,75,Rfam seed
RF00411,Small nucleolar RNA SNORA9,Gene; snRNA; snoRNA; HACA-box;,36,149,4780,132.8,77,Rfam seed
RF00412,Small nucleolar RNA SNORA21,Gene; snRNA; snoRNA; HACA-box;,5,138,666,133.2,88,Rfam seed
RF00413,Small nucleolar RNA SNORA19,Gene; snRNA; snoRNA; HACA-box;,34,138,4424,130.1,79,Rfam seed
RF00414,Small nucleolar RNA SNORA22,Gene; snRNA; snoRNA; HACA-box;,31,150,4151,133.9,79,Rfam seed
RF00415,Small nucleolar RNA SNORA30/SNORA37 family,Gene; snRNA; snoRNA; HACA-box;,11,139,1420,129.1,73,Rfam seed
RF00416,Small nucleolar RNA SNORA43,Gene; snRNA; snoRNA; HACA-box;,21,148,2842,135.3,76,Rfam seed
RF00417,Small nucleolar RNA SNORA56,Gene; snRNA; snoRNA; HACA-box;,17,147,2202,129.5,82,Rfam seed
RF00418,Small nucleolar RNA SNORA58,Gene; snRNA; snoRNA; HACA-box;,20,147,2716,135.8,81,Rfam seed
RF00419,Small nucleolar RNA SNORA52,Gene; snRNA; snoRNA; HACA-box;,21,152,2805,133.6,72,Rfam seed
RF00420,Small nucleolar RNA SNORA61,Gene; snRNA; snoRNA; HACA-box;,25,148,3240,129.6,74,Rfam seed
RF00421,Small nucleolar RNA SNORA32,Gene; snRNA; snoRNA; HACA-box;,9,124,1094,121.6,84,Rfam seed
RF00422,Small Cajal body specific RNA 24,Gene; snRNA; snoRNA; scaRNA;,23,144,2992,130.1,83,Rfam seed
RF00423,Small Cajal body specific RNA 4,Gene; snRNA; snoRNA; scaRNA;,24,141,3092,128.8,83,Rfam seed
RF00424,Small Cajal body specific RNA 16,Gene; snRNA; snoRNA; scaRNA;,37,215,6792,183.6,76,Rfam seed
RF00425,Small nucleolar RNA SNORA18,Gene; snRNA; snoRNA; HACA-box;,29,142,3807,131.3,76,Rfam seed
RF00426,Small Cajal body specific RNA 15,Gene; snRNA; snoRNA; scaRNA;,22,139,2818,128.1,72,Rfam seed
RF00427,Small Cajal body specific RNA 23,Gene; snRNA; snoRNA; scaRNA;,18,137,2258,125.4,79,Rfam seed
RF00428,Small nucleolar RNA SNORA38,Gene; snRNA; snoRNA; HACA-box;,25,140,3288,131.5,84,Rfam seed
RF00429,Small nucleolar RNA SNORA29,Gene; snRNA; snoRNA; HACA-box;,26,151,3587,138.0,79,Rfam seed
RF00430,Small nucleolar RNA SNORA54,Gene; snRNA; snoRNA; HACA-box;,5,140,637,127.4,60,Rfam seed
RF00431,Small nucleolar RNA SNORA55,Gene; snRNA; snoRNA; HACA-box;,29,142,3879,133.8,81,Rfam seed
RF00432,Small nucleolar RNA SNORA51,Gene; snRNA; snoRNA; HACA-box;,9,136,1191,132.3,82,Rfam seed
RF00433,Hsp90 cis-regulatory element,Cis-reg; thermoregulator;,6,152,906,151.0,96,Rfam seed
RF00434,Luteovirus cap-independent translation element (BTE),Cis-reg;,17,130,1719,101.1,71,Rfam seed
RF00435,Repression of heat shock gene expression (ROSE) element,Cis-reg; thermoregulator;,13,132,1313,101.0,59,Rfam seed
RF00436,UnaL2 LINE 3' element,Cis-reg;,30,57,1623,54.1,77,Rfam seed
RF00437,Hairy RNA localisation element (HLE),Cis-reg;,5,134,648,129.6,83,Rfam seed
RF00438,Small nucleolar RNA SNORA33,Gene; snRNA; snoRNA; HACA-box;,28,156,3640,130.0,77,Rfam seed
RF00439,Small nucleolar RNA SNORD87,Gene; snRNA; snoRNA; CD-box;,10,93,828,82.8,90,Rfam seed
RF00440,Small nucleolar RNA SNORD37,Gene; snRNA; snoRNA; CD-box;,6,68,391,65.2,79,Rfam seed
RF00441,Small nucleolar RNA Z242,Gene; snRNA; snoRNA; CD-box;,5,198,986,197.2,88,Rfam seed
RF00442,Guanidine-I riboswitch,Cis-reg; riboswitch;,100,178,10783,107.8,63,Rfam seed
RF00443,Small nucleolar RNA SNORA27,Gene; snRNA; snoRNA; HACA-box;,24,151,3073,128.0,84,Rfam seed
RF00444,PrrF RNA,Gene; sRNA;,18,156,2671,148.4,81,Rfam seed
RF00445,mir-399 microRNA precursor family,Gene; miRNA;,13,152,1470,113.1,59,Rfam seed
RF00446,mir-133 microRNA precursor family,Gene; miRNA;,46,104,4027,87.5,67,Rfam seed
RF00447,Voltage-gated potassium-channel Kv1.4 IRES,Cis-reg; IRES;,6,263,1540,256.7,89,Rfam seed
RF00448,Epstein-Barr virus nuclear antigen (EBNA) IRES,Cis-reg; IRES;,6,221,1271,211.8,83,Rfam seed
RF00449,HIF-1 alpha IRES,Cis-reg; IRES;,17,334,4722,277.8,75,Rfam seed
RF00451,mir-395 microRNA precursor family,Gene; miRNA;,25,147,2562,102.5,65,Rfam seed
RF00452,mir-172 microRNA precursor family,Gene; miRNA;,11,187,1337,121.5,58,Rfam seed
RF00453,Cardiovirus cis-acting replication element (CRE),Cis-reg;,4,33,132,33.0,81,Rfam seed
RF00454,p27 cis-regulatory element,Cis-reg;,12,60,699,58.2,92,Rfam seed
RF00455,mir-15 microRNA precursor family,Gene; miRNA;,17,89,1454,85.5,73,Rfam seed
RF00456,mir-34 microRNA precursor family,Gene; miRNA;,18,92,1580,87.8,74,Rfam seed
RF00457,Mnt IRES,Cis-reg; IRES;,21,217,4216,200.8,91,Rfam seed
RF00458,Cripavirus internal ribosome entry site (IRES),Cis-reg; IRES;,7,210,1391,198.7,54,Rfam seed
RF00459,Mason-Pfizer monkey virus packaging signal,Cis-reg;,9,309,2500,277.8,71,Rfam seed
RF00460,U1A polyadenylation inhibition element (PIE),Cis-reg;,39,81,2891,74.1,74,Rfam seed
RF00461,Vascular endothelial growth factor (VEGF) IRES A,Cis-reg; IRES;,7,316,2123,303.3,90,Rfam seed
RF00462,APC internal ribosome entry site (IRES),Cis-reg; IRES;,6,53,318,53.0,85,Rfam seed
RF00463,Apolipoprotein B (apoB) 5' UTR cis-regulatory element,Cis-reg;,5,128,631,126.2,91,Rfam seed
RF00464,mir-92 microRNA precursor family,Gene; miRNA;,23,82,1815,78.9,76,Rfam seed
RF00467,Rous sarcoma virus (RSV) primer binding site (PBS),Cis-reg;,22,75,1650,75.0,93,Rfam seed
RF00468,Hepatitis C virus stem-loop VII,Cis-reg;,110,66,7190,65.4,74,Rfam seed
RF00470,Togavirus 5' plus strand cis-regulatory element,Cis-reg;,33,308,8781,266.1,80,Rfam seed
RF00471,Small nucleolar RNA snR48,Gene; snRNA; snoRNA; CD-box;,6,122,649,108.2,75,Rfam seed
RF00472,Small nucleolar RNA snR55/Z10,Gene; snRNA; snoRNA; CD-box;,6,99,534,89.0,75,Rfam seed
RF00473,Small nucleolar RNA snR54,Gene; snRNA; snoRNA; CD-box;,8,107,701,87.6,78,Rfam seed
RF00474,Small nucleolar RNA snR57,Gene; snRNA; snoRNA; CD-box;,5,100,456,91.2,75,Rfam seed
RF00475,Small nucleolar RNA snR69,Gene; snRNA; snoRNA; CD-box;,6,120,583,97.2,63,Rfam seed
RF00476,Small nucleolar RNA snR61/Z1/Z11,Gene; snRNA; snoRNA; CD-box;,56,105,4697,83.9,68,Rfam seed
RF00477,Small nucleolar RNA snR66,Gene; snRNA; snoRNA; CD-box;,4,117,402,100.5,83,Rfam seed
RF00478,Small Cajal body specific RNA 6,Gene; snRNA; snoRNA; scaRNA;,17,298,4481,263.6,73,Rfam seed
RF00479,Small nucleolar RNA snR71,Gene; snRNA; snoRNA; CD-box;,7,100,647,92.4,74,Rfam seed
RF00480,HIV Ribosomal frameshift signal,Cis-reg; frameshift_element;,145,52,7523,51.9,84,Rfam seed
RF00481,Hepatitis C virus 3' X element,Cis-reg;,22,100,2194,99.7,96,Rfam seed
RF00482,Small nucleolar RNA F1/F2/snoR5a,Gene; snRNA; snoRNA; HACA-box;,8,141,1117,139.6,86,Rfam seed
RF00483,Insulin-like growth factor II IRES,Cis-reg; IRES;,9,122,1082,120.2,94,Rfam seed
RF00484,Connexin-32 internal ribosome entry site (IRES),Cis-reg; IRES;,6,153,869,144.8,93,Rfam seed
RF00485,Potassium channel RNA editing signal,Cis-reg;,85,116,9689,114.0,68,Rfam seed
RF00486,mir-129 microRNA precursor family,Gene; miRNA;,6,92,541,90.2,83,Rfam seed
RF00487,Connexin-43 internal ribosome entry site (IRES),Cis-reg; IRES;,14,217,2779,198.5,87,Rfam seed
RF00488,Yeast U1 spliceosomal RNA,Gene; snRNA; splicing;,5,625,2831,566.2,63,Rfam seed
RF00489,ctRNA,Gene; antisense;,10,49,456,45.6,86,Rfam seed
RF00490,S-element,Cis-reg;,29,81,1961,67.6,75,Rfam seed
RF00492,small Cajal body-specific RNA 17,Gene; snRNA; snoRNA; scaRNA;,6,145,848,141.3,76,Rfam seed
RF00493,Small nucleolar RNA U2-30,Gene; snRNA; snoRNA; CD-box;,21,75,1468,69.9,87,Rfam seed
RF00494,Small nucleolar RNA U2-19,Gene; snRNA; snoRNA; CD-box;,29,86,2323,80.1,80,Rfam seed
RF00495,Heat shock protein 70 (Hsp70) internal ribosome entry site (IRES),Cis-reg; IRES;,14,233,2960,211.4,80,Rfam seed
RF00498,Equine arteritis virus leader TRS hairpin (LTH),Cis-reg; leader;,6,45,270,45.0,98,Rfam seed
RF00499,Human parechovirus 1 (HPeV1) cis regulatory element (CRE),Cis-reg;,5,117,558,111.6,87,Rfam seed
RF00500,Turnip crinkle virus (TCV) repressor of minus strand synthesis H5,Cis-reg;,5,46,226,45.2,97,Rfam seed
RF00501,Rotavirus cis-acting replication element (CRE),Cis-reg;,14,68,949,67.8,87,Rfam seed
RF00502,Turnip crinkle virus (TCV) core promoter hairpin (Pr),Cis-reg;,4,34,132,33.0,92,Rfam seed
RF00503,RNAIII,Gene;,10,608,4682,468.2,61,Rfam seed
RF00504,Glycine riboswitch,Cis-reg; riboswitch;,44,215,4438,100.9,50,Rfam seed
RF00505,RydC RNA,Gene; sRNA;,5,66,324,64.8,86,Rfam seed
RF00506,Threonine operon leader,Cis-reg; leader;,25,142,3006,120.2,76,Rfam seed
RF00507,Coronavirus frameshifting stimulation element,Cis-reg; frameshift_element;,50,81,3855,77.1,66,Rfam seed
RF00509,Small nucleolar RNA snR64,Gene; snRNA; snoRNA; CD-box;,10,113,1037,103.7,81,Rfam seed
RF00510,Tombusvirus internal replication element (IRE),Cis-reg;,23,94,2037,88.6,84,Rfam seed
RF00511,Kaposi's sarcoma-associated herpesvirus internal ribosome entry site,Cis-reg; IRES;,5,248,1240,248.0,99,Rfam seed
RF00512,Leucine operon leader,Cis-reg; leader;,6,161,881,146.8,63,Rfam seed
RF00513,Tryptophan operon leader,Cis-reg; leader;,22,127,2215,100.7,59,Rfam seed
RF00514,Histidine operon leader,Cis-reg; leader;,33,166,4247,128.7,63,Rfam seed
RF00515,PyrR binding site,Cis-reg;,41,224,5079,123.9,47,Rfam seed
RF00516,ylbH leader,Cis-reg; leader;,3,139,356,118.7,56,Rfam seed
RF00517,serC leader,Cis-reg; leader;,70,55,3651,52.2,75,Rfam seed
RF00518,speF leader,Cis-reg; leader;,6,161,915,152.5,59,Rfam seed
RF00519,Makes More Granules Regulator RNA (mmgR),Gene; sRNA;,87,100,6670,76.7,55,Rfam seed
RF00520,ybhL leader,Cis-reg; leader;,6,92,444,74.0,74,Rfam seed
RF00521,SAM riboswitch (alpha-proteobacteria),Cis-reg; riboswitch;,40,85,3158,79.0,70,Rfam seed
RF00522,PreQ1 riboswitch,Cis-reg; riboswitch;,36,70,1640,45.6,66,Rfam seed
RF00523,Prion pseudoknot,Cis-reg;,148,54,6077,41.1,84,Rfam seed
RF00524,R2 RNA element,Cis-reg;,15,274,3238,215.9,66,Rfam seed
RF00525,Flavivirus DB element,Cis-reg;,111,84,8025,72.3,72,Rfam seed
RF00526,Small nucleolar RNA Me28S-U3344,Gene; snRNA; snoRNA; CD-box;,8,90,667,83.4,77,Rfam seed
RF00527,Small nucleolar RNA Me28S-Gm3255,Gene; snRNA; snoRNA; CD-box;,10,89,821,82.1,78,Rfam seed
RF00528,Small nucleolar RNA Me28S-Gm1083,Gene; snRNA; snoRNA; CD-box;,11,98,982,89.3,85,Rfam seed
RF00529,Small nucleolar RNA Me28S-Am2589,Gene; snRNA; snoRNA; CD-box;,16,112,1740,108.8,70,Rfam seed
RF00530,Small nucleolar RNA Me28S-Cm2645,Gene; snRNA; snoRNA; CD-box;,20,85,1504,75.2,79,Rfam seed
RF00531,Small nucleolar RNA Me28S-Gm3113,Gene; snRNA; snoRNA; CD-box;,15,92,1246,83.1,75,Rfam seed
